comment,star
我們兩個人去的，等個100多個號吧，還行因為不著急，就特地為了去拔草，點了一直烤鴨，味道不錯，就是上的特別慢，上了以後吃了兩口就飽了，還點了奶酪魚，名不虛傳非常好吃，還點了松茸木耳？好像是這個名字，松茸炒雞少，味道一般，不推薦，還點了招牌梨湯，不錯，很好喝，點了奶酪蝦球，味道還行，可是為什麼給我們桌上的比我們隔壁桌的量要少很多呢？！吃的時候沒發現，等隔壁桌上的時候才發現的，然後在看其它桌的分量都比我們多，這還看人下菜碟麼？總之，不會去了,2
哎，衝著推薦來的，後悔死了，上菜巨慢不說，服務態度還超級差，東西鹹的要死，而且普遍的貴，誰來誰犯二，這輩子不會再來了。,1
超級差評  上菜慢 服務態度超級差、先把湯上來喝飽了 完事菜就上了一個，找服務員催半天也上不來最後結賬態度超級差一個個子不高在門口附近桌子的服務員,1
很好吃，中餐有西餐味。用餐人很多，我們排隊了15分鐘呢，爆,5
平日晚餐去的時間不算晚人也依舊那麼火爆 等了一個小時 安排了一張超小的桌子 只適合下午茶用 很無語 點了奶酪罐子依舊很喜歡 芝士布朗尼好吃 彩虹沙拉料足好喜歡 意麵也不錯 喜歡奶油口味 還點到了限量的滷肉飯 很好吃 總體來說還不錯吧,5
好吃好吃好吃，就是人不少！烤肉速度人多時候稍有些慢！,5
總體還不錯 要的都是推薦菜 手撕餅有點膩,5
沒有菜單 用微信點菜 還是先付款 什麼都沒吃著就把錢付了 忙活點餐付款就十幾二十分鐘 還真得不餓的時候來吃飯 要不就得餓死,1
上週末去的娜娜家，一直沒來得及點評，今天趁著工作不忙趕緊來補一個😝作為一個愛吃甜食的女生，真的是對這種有很多小甜點的西餐廳愛不釋手，恨不得天天吃。剛好週末在公司加班，離大悅城很近，又剛好大悅城有娜娜家，毫不猶豫的拉著男朋友來拔草了。【位置】大悅城五樓騎鵝公社，對我這個路痴來說位置其實並不算好找，拉著男票足足轉了有兩圈，才在一個角落看到娜娜家門口的標誌性小車。【環境】因為是週末去的，所以人不算少，要排隊等位，不過屁股剛坐下沒有兩分鐘就叫到我們了，安排的位置是一進門下樓梯直對的單人沙發坐，桌子有點矮，適合下午茶的時候點杯咖啡葛優躺跟閨蜜聊一下午的天，不過吃正餐就沒那麼舒服了，男票一度表示想換個位置，無奈人太多隻能湊合坐。【服務】服務員的素質都還算不錯，坐下後很及時的送來了iPad點餐，而且一直有服務員站在店裡隨時等候召喚～點好餐服務員也會貼心的問是不是按順序上，有沒有要等叫的，然後告訴你菜上齊大概需要多久。店裡還提供移動電源，就是需要100元的押金，不過算是比較周到的服務了。接下來說到食物啦👏👏👏【娜娜的奶酪罐子】娜娜家的限量奶酪，一桌限點一個，上一次去娜娜家有點晚奶酪已經沒有了，這次一定不會錯過了，頂層是巧克力味的芝士餅乾和樹莓，中間是奶酪，口感跟味道都很不錯，就是吃多了會有點膩，底層應該也是餅乾底，奶酪一定要及時消滅掉，不然放熱了會影響口感。【巧克力鮮奶油冰淇淋華夫】量很足，四塊華夫，每塊都很大，冰激凌會化得很快，所以如果想要慢悠悠吃飯的夥伴還是等叫吧，等嘴閒下來再叫冰激凌華夫上，這樣才不會影響口感。【煎烤德國香腸】強推！！！口感味道都一級棒，配菜土豆泥也很好吃，蘸醬略偏酸，所以個人感覺不沾醬比較好吃。愛肉食的小夥伴可以嘗試一下呦。【煙花妓女意大利麵】完全是被名字吸引，男票說味道一般，可能是因為當時已經吃飽了。【芝士雞肉蘑菇意大利麵】無功無過吧，算是正常的意麵，因為比較偏愛芝士奶油所以點的。飲品點的是鴛鴦奶茶，不是偏甜是偏苦的奶茶類型，咖啡味濃，愛港式奶茶的可以試試。娜娜家環境不錯，菜品也很好，一般朋友小聚或者情侶約會都可以選擇，有的分店有歌手駐唱，男孩子們可以晚上帶女朋友去聽歌吃甜點呀，相信大部分女孩子都會喜歡娜娜家的甜品的。,5
服務員跟**似的，搖搖手，沒位置，話都不說一句。,1
自從這家出了就一直想去，終於趕個閨蜜也有時間的日子早早的去了。不到五點半到那就已經排到10幾號了，差不多等了半個小時進去了。兩個人但是排號的只發中桌，所以我們兩個人佔了一張大桌子很不好意思啊。點了三個菜兩杯飲料，但是我倆好撐，各種吃不完了，味道好吃的真的沒的說。點菜是用美味不用等，覺得很新穎。以後還會再去,5
東西什麼的都挺好，味道也不錯，就是人多點，環境很好,5
早就耳聞滷肉飯，可是不太喜歡吃，是甜口的，米飯太硬太硬了應該是隔夜的，肉也不是很爛！！煙花意麵挺辣的，就是意大利醬，味道挺濃的，之前去都可以隨便坐，這次個高的男服務員不讓座，看到三口坐個六人座，上菜了又讓人人家坐別的地方，小孩都哭了，感覺有點不合適了！！,2
由於在公司對面，因此和同事來過幾次，菜的味道還可以，今天和家人路過這，帶他們進來嚐嚐，桌子上方有風，孩子不習慣，然後我們就和裡面的服務員說了一下，服務員讓我們自己找張沒有風吹的桌子，我們就自己找了張沒有風同時也沒人的桌子坐下，坐了半天了，可氣的是那迎賓員（穿藍色衣服的一女孩）後面帶個客人進來非得坐這個位子，我們都坐半天要點菜了，她非得讓我們坐會原來的位子，口氣毫無商量，把矛盾推給我們兩家顧客來解決，讓我和對方談，看來開業生意好服務就無所謂了，那迎賓安排排位的那個女的服務態度和服務意識夠差的，不想在大庭廣眾之下和一個女的費口舌，最後我們就只好回到原來的位子勉強吃完這頓飯，記憶深刻，下次再也不來了，也聯繫周圍的同事別來了，不想吃個飯還受氣。,1
每次去都要排隊，人不少，在恆隆可以和外婆家抗衡。價格方面還是可以接受的，餐廳環境也還可以，味道一般。,4
這次過生日又去的漢巴味德，這回真的讓我太失望了，想要說一下，從剛開業6.6的時候就一直吃，懷孕也吃生完了又帶孩子來，基本上這幾年過生日都是來這吃的，過生日沒有活動，這可以接受，重點是食物的品質，這回過生日又來了，場面非常亂，雖說人多吧，難道能比剛開業時還多嗎，吃的供不上，都開始搶，真的挺無語的，還有那些現烤的的烤肉，真的太慢太慢了，而且這次味道也不好吃，人多點就這樣了，剛開業時都沒這樣過，連飲料都供不上，真的太失望了，吃自助每次都想到這，可是現在真是差的不是一點，以後過生日不會再來了，太失望了。還要說一下，寶寶椅真是太髒了，都是我們自己擦的。,2
人好多，去的時候排號了不過等的時間不長，蛋撻挺好吃，外皮很酥，北極甜蝦也不錯，炸雞腿我覺得剛出鍋的時候最好吃，小蛋糕類的八點多的時候已經不多了，中式小吃比較全，雞蛋羹、肉皮凍、蕨根粉都有，冰淇凌男票說是奶粉的味道，我覺得還行，總體來講這個價位在自助餐裡已經相當不錯了,4
先森又帶著我來解饞啦~烤玉米好吃得不得了~估計我自己吃了七八塊~大愛的豆漿也是依舊好喝~奧爾良烤翅和梅子肉還是首選~棒棒噠~,4
沒有團購！沒有特價！不能刷卡！不能轉賬！服務差！剛來時人多服務員說話聽不清就說我們叫號不回答！服務員收拾別桌的東西濺了我一身！再也不來了！,1
來過兩次 兩次的蟲子 真的大家以後不要來了 這家的衛生水平太差,1
【位置】恆隆六樓，看見鼎泰豐後在一直往前走，排隊人多的就是了。【環境】面積挺大的，可以容納桌數在恆隆這些餐廳裡絕對是前幾名。很亮堂，就餐環境還不錯，稍微有些吵。【菜品】因為是閨蜜男朋友第一次見我們幾個人兒，所以一激動點多了。#媽媽燻排骨#不知道是不是這個菜名，肉挺多的，味兒也不錯，比我第一次來這裡時候吃的要好吃，推薦。#媽媽大拉皮#挺大一份的，味道不錯，拉皮太有嚼勁兒了。但是不明白為什麼用那麼平的一個盤子裝，醬料都流出來了，也不方便攪拌，這個有待改進。#奶香餅#味道不錯，但稍微有點油#什麼豆腐#味道一般，挺普通的#什麼湯#本來我們沒點的，服務員可能錯看了，意外點上的，還挺鮮挺好喝的，那個綠色的菜他們說是小白菜。#酸菜魚#我沒怎麼吃，我吃的那塊剛好有一大塊魚皮，有點腥。#金牌烤蟶#我得最愛，每次必點，就是量有點少。#魚香肉絲#忘了拍照了，應該是沒動過筷子吧，最後全部打包了。太開心的一餐了，四個人點了八個菜……這個新加入的小哥哥真敞亮，已收買閨蜜團成員，對我們的小姐妹好點，點評為證！,5
孩子超喜歡這裡，我都不知道為嘛！吃的東西跟巴西烤肉差不多，有一些蟹腿啊什麼的，不過我覺得不新鮮，就烤肉還不錯，不過，啤酒不免費，免費的飲料比較差，78一位的價格還真不如加點去星級酒店吃自助餐，總之以後不想去了。人山人海，排隊的人這個多啊，進不去還打架，就這人的素質也夠了，多加幾十去吃點好的，也不能跟這幫哄搶的人一起吃飯，你說一個人弄兩盤子蝦，你是這輩子沒吃過還是怎樣呢。哎，讓我想起了泰國那些個丟人丟到外國的。,5
還是可以的，稠的小吊梨湯挺好喝的，同桌的人說喝下去感覺咳嗽立馬好多了😂也許心理作用吧。梨球蝦比較特色，豌豆黃也挺正宗的。烤鴨覺得平平。想點乾酪魚、杏仁豆腐都沒有了。想來真的要趁早來排隊，人挺多的，我們去的人還不算最多，也等了將近一小時。等餓了門口有煮雞蛋夾各種醬發，按人頭髮，不能代領。還有炸蝦片、檸檬水自取。,4
說實話，就是一次可以，吃多了就沒勁了。不是很東北的菜，所以就像快餐！量越來越少！,2
去的比較晚，大概是下午一點半後了，服務員大部分正在收拾，上菜比較快，各種烤肉都快，就是自取的菜基本都沒了,4
可能是他家一直很，幾次被全面排號太多望而卻步的緣故，今天有一種牢底坐穿的決心，終於吃到了！心中狂喜！按照大家評論一一點過來，味道還不錯，但是沒用驚豔的感覺，品種也真心單一，主食品種少的可憐！與其說是一家餐廳，倒不如說是一家☕️店更加貼切吧！,4
在二樓小陽臺吃的，晚上點了小蠟燭，挺有情調的，味道還不錯，不過稍微有點兒膩，形式大於內容,4
還是吃自助好啊，他們家的蜜汁梅肉真的很好吃，而且蛋塔和蛋糕都不錯，性價比很高推薦,5
雪冰好棒阿 薯條好吃～焗飯和意麵好吃～還有西瓜雪梨汁,5
怎麼說呢，我就覺得東北菜特別不實誠。在北京有很多家分店，吃起來也都是一樣。看起來很精緻，實際上很粗糙。用一個例子來證明吧，土豆絲！這道菜很好基本功，盤子端上來，擺盤很凌亂，雖然盤子很精緻，口感上無論是機器削的還是手切的，吃的就很面。居然杯子裡還有頭髮 為啥還要排隊呢！,2
菜都有點兒偏甜口，肚挺好吃的呢,5
一白遮百醜，一個難吃到家呢?我給一萬個差評！太甜了，太難吃了,1
慕名而來，口味還不錯只是上菜很慢，難怪總要排隊,4
真的好難吃，排了100多號，進去了招牌菜一個沒有，上來主食都是涼的，叫服務員拿餐具半天沒拿來，真心差啊,1
等位一個多小時 點菜20分鐘 上菜20分鐘。呵呵……有空位也不讓坐 非得坐高位吧檯。至於口味，呵呵，我只能說不高於此類型餐廳。真心想說這麼火都是炒起來的吧？！,1
一般～服務態度有點差～菜品味道湊合吧～,2
菜品是不錯，生意也很好，但是說實在的，你們店裡服務員的態度真心的差，你們領導都沒有好好培訓嗎，吃飯也需要吃個心情不是嗎,2
醒來已經過了午飯點！各種飯館已經畢餐！打電話若干感興趣的飯館！無奈，直接去了恆隆！糾結了一下乾元和這裡！想著來過這裡比較好吃還是這裡吧！然後先生說換換點吧！別總是那幾個！換了以後就蒙了…… 《婆家豆腐！》真是看出來婆家了！木有肉，有也就一點！味道太一般了！就兩個蝦仁！！！嚴重不推薦！《果酒》第二個圖片！倒置的瓶子裡面酒是酸的！不好喝！下面的水果有西瓜和芒果！都是小丁！西瓜不甜芒果還行！味道差強人意！39的價格也是令人汗顏了！《媽媽三杯雞》並不入味！我覺得這道菜改名叫三杯姜蒜比較貼切！味道太甜了！而且刨除去裡面的姜蒜幾乎不剩多少！大家看第四個照片!第五個是摘除去剩下的樣子！！《金牌小羊腿》不得不說這個是羊腿拆了弄成渣渣裹著糊炸的！口感一般！都是雞蛋味！不推薦！《紅燒肉》第一個點的！1.5h以後才上！！！！真的是肉需要買嘛？！味道太太太一般！《媽媽拉皮》沒有照！配菜越來越少！醬料的鹹酸愈加厚重！懶得拍照！量小了太多！！！這次顛覆了我對北李媽媽的好印象！！嚴重不推薦！！！！從菜到飲料！太差勁！就剩下環境和態度了！！上菜太慢，而且是非高峰期去的還那麼多人！！！催了多少次也沒用！下次也不會再去了！！！這個價格真心不值！,2
排隊了好久 人氣最旺 以為很好吃 實際真的好膩 也許是我們點的菜不對 以後不想再去的店 搞不懂為何那麼火,1
吃了太多次北李，就奔著鍋包肉來的，因為有家鄉的味道，可現在越來越偷工減料，肉小了，塊兒少了，味道一般了，超級失望😞,1
菜品口味佳，環境很好，服務滿意,5
最終愛的店，最愛的下午茶，最愛的娜娜和閨蜜約會繼續，來大悅城必來的地方。大眾點評點餐哦，有圖，有購物車很方便✔櫻桃蛋糕是新出的，乳酪的，櫻花🌸有點鹹✔抹茶蛋糕是千層的，依舊是最愛✔巧克力的原以為很大，其實很小。太甜了，齁嗓子✔最愛大杯的天空棉花糖飲料，每次兩人都吃不完。記得一點要找服務員，打包帶走哦！,5
作為東北菜來講 味道還不錯 中規中矩 價格略高 金牌烤蟶不錯 推薦大拉皮,4
口味還行，就是貴，人很多，不經常去,4
飢餓營銷的噱頭。。味道比北京差遠了，服務也很差,1
排了好久的隊，味道可以，服務也不錯,4
第三次來，不知道是大悅城店服務口味都差了還是各分店都如此…華夫完全是綿軟的，上次是酥脆的好吧？品質要有把控吧？旁邊桌服務員正在幫客人點菜，我閨蜜跟服務員說了一句，麻煩加水…你就回一句，稍等一下不就得了？好麼，那醜姐姐回頭怒了，說，我正在和這位客人說話，您等會兒行嗎？會說人話嗎？,2
服務很好，就是得等位，週二去人都滿滿的。,4
環境很差，基本沒有裝修過，地板都很髒，讓人沒有食慾。不知道為什麼會有很高的評價，感覺像是僱人專門寫的好評。服務員感覺也沒受過培訓，上了甜品也不上餐具，不給倒水等等。而且終於知道了為什麼它家會排隊等好多人，原來是因為上菜太慢，所以只有一波客人。等了一小時二十分鐘也沒有上齊餐。具體菜的口味也沒有嚐到太好吃的，而且還貴，不物美價廉。雙倍奶酪雞肉不太好吃。希望改進。下次挑餐廳的時候一定去看看差評，而不是好評。,1
口味還行 人太多 排隊不開心 價格偏貴,5
菜的味道一般 菜的油偏大 有點膩 價格小貴  不會再去第二次,2
食材竟然都是壞的！！！！！啊啊啊啊！我太后悔了！！！再也不來了！！！,1
抱著很大的希望去的，但是比較失望！菜品味道，簡直不值一提，肯定不會再去第二次的地方。那個特色，基本上就是沒有味道，尤其那個豆腐，什麼啊做的，除了油，就是鹹味，別的味道沒有。就肉龍還比較好吃，其他真的太一般了，梨湯還可以，但較貴。,2
首先服務態度很好～看到帶寶寶特別安排了一個好位置～其次菜量真是大的可以啊～點了燻排骨～我想說這個味道真的像陸記燒雞🐔～好嗎～建議買小份嚐嚐就可以～還有塑料手套o～蟶子口味可以～就是有點鹹～總體還可以啦～適合年輕人口味～比較辣～,5
價位非常合適，雖然排隊等了兩個多小時，還是很值得的,5
挺好的，菜品比較全，種類多，添加也快,5
還不錯，常光顧的店，最好吃的是排骨,4
***粉又來了，外地同學來津，一定要帶她去吃娜娜家😂😂😂，果然還是應該早去，在娜娜家不用排號直接進好幸福有沒有。把經典的吃過n多遍的東西又重溫了一下，還是一如既往地好吃，還有個新品意麵，原諒我又沒記名字，味道有點像炸醬麵，同學很喜歡。,5
來上菜的時候，有好幾次都弄到我們身上,2
裝修很特別味道就是天津老菜系換了個叫法！有創意！,5
味道不錯，就是點太多，沒吃了……,5
只能說很失望 同學先去佔座 一行多人 卻要求先現金付錢 無奈同學沒有現金只能等人齊了才能排位 這樣不靈通的留住客流量的方法實在有些蠢了 關鍵在手機支付如此方便的當下他們還不支持！我想就算味道再說如果你讓客戶的體驗不佳那這也是我最後一次🙄,1
有點不衛生，吃完拉肚子了，可能也就我們那桌不衛生18號晚上吃的，19號早上就拉肚子了，細菌感染者腹瀉，病了一週的時間，我們都瘦了，點的烤鴨（鴨湯）豌豆黃，還有那個蝦，還有乳酪魚，還有記不清楚了，夏天大家還是注意衛生吧，真心覺得味道一般，衛生差勁👎，,1
在北京沒拔的草在大悅城拔了。人太多了，火的不行，和蜜等位等了一個小時，說好了再吃不到就打火的回北京吃去！推薦黎球果仁蝦！,4
口味偏甜，很容易膩，我自己是真心吃不慣。環境還可以，服務一般。,2
上菜超級慢，我催了好幾次都沒人理，最後我跟服務員說你這上菜也太慢了，結果服務員說上菜慢跟我沒關係是後廚的事，我就無語了！服務態度非常不好！,1
第一次去吃是國慶期間，吃五十返五十！說實話確實有些菜不錯！拿著返券第二次再去的時候！略有失望！媽媽燻排骨第二次點的大份，比第一次第一次點的小份幾乎沒有多多少！奶香手撕餅的分量也縮小！其餘沒有點重複的所以沒法比較！服務嘛，一般般吧。不怎麼積極！菜品味道還不錯！推薦鐵板茄夾，燻排骨，奶香手撕餅，疙瘩湯，婆婆豆腐好像,4
除了環境還可以，其它沒什麼可說的地方，總之和開業比起來差很多了，以後也不會再去了。,1
這個價位，性價比真的很高，之後又介紹家人去吃了,5
外層奶油不好，應該不是鮮奶油，內層還可以，主要蛋糕直接粘在盒子上，為啥沒有油紙啥衛生點的呢😱,2
影響最深的是煙花妓女意大利麵～當時覺得名字很酷就點了～味道不錯,5
環境很好 菜品也不錯 剔牙雞很好吃 水煮肉片也不錯哦,5
聽說這家店很火爆，晚上特意過來品品嚐一下。沒有想象的好吃，店內特色的小吊梨湯口感很濃，感覺放了澱粉一樣，個人不太愛喝。烤鴨口味一般，沒有什麼特色。梨球果仁蝦還是不錯的，口味偏甜。人氣爆滿的原因可能是北京店的宣傳吧。嘗過之後有點失望。服務人員特別熱情，態度很好，很滿意！,4
很有意思的一家店。本來看點評以為是一家酒樓呢，跟老大來回找了好久才找到，找到時對著它的小門臉愣了半天。。。進去一樓已經坐滿，上二樓居然也只有兩個人的座位。坐下來看菜單，一看就笑了，老闆的腦洞略大啊。其實都是家常菜，起的名字卻叫人忍俊不禁。什麼張三瘋，小寶hold不住的。米飯不叫米飯叫乾糧，可爾必思不叫可爾必思叫喝了就知道，套路啊都是套路哈哈哈。吃完覺得大部分菜的味道都不錯，只是女神和女漢子確實兩個原材料就跟名字一樣的不搭，看看就好了。環境也是下了功夫的，有個性發揮。總體不錯。,4
人很多，環境不錯，就是有點小吵。東西非常全，也挺新鮮。總體比韓古風和漢斯好,5
點了推薦的燻排骨，味道一般，肉有點柴，有的地方還被燻苦了。鍋包肉調味汁酸味有點刺鼻，整體也挺差的不推薦。奶香手撕餅味道還可以，熱的時候很好吃，但是太油了。最不爽的是，我們還沒有離桌服務員就上來收盤子，雖然高峰時段等位人多，但是店員也不能如此明目張膽趕人吧！反正再也不會來了……,1
服務差，菜口味一般，紙巾都收錢，環境還可以，真不知道為什麼這麼火,2
看完電影直奔北李媽媽，在大眾上拿的號，真的很不錯，沒等多久就進去了。省去了現場拿的時間了。感覺金牌烤蟶盤子比原來小了呢？是因為平安夜盤子不夠使了，還是早已經換小盤了。記得以前吃，很大一盤啊。味道依舊喜歡。京都餡餅，倆種餡料，一種一半。其實一種好像裡面有韭菜。倆人一份都沒吃完。一共12角呢！三杯素，有香菇，西蘭花，芋頭，胡蘿蔔，白蘿蔔，最近霧霾比較嚴重，特意點了清肺的。味道不錯呢，就是油比較大。另外還點了個苦瓜，真苦。也是去火的。要了個湯，雞蛋黑木耳湯。黑木耳也是清肺的好東西。一頓飯花了170多，吃的舒心。還有剩，打包了一盒。,5
菜品一如既往的好，排骨燉酸菜，我的最愛，服務也很好，上菜速度快。,5
週六中午去的，真的是很火爆啊～等了大概一個小時～等坐的時候有煮雞蛋配上各種輔料，雖然看著一般，但是味道還是很驚喜的～梨球果仁蝦～發甜口，一定要趁熱吃呦～脆脆的很好吃～底下還有脆脆的梨～味道很不錯～小煎豬肝，慢慢的一盤，味道真的超級棒，很嫩很入味～超級喜歡～記憶大懶龍，童年的肉龍，味道很正宗～驢打滾，很精緻，分量剛剛好，味道很不錯，不是特別甜，不會覺得膩～乾酪魚，奶酪味道很濃，微甜，又不會覺得膩，很喜歡～梨湯，很濃稠，甜度適中～總體來說，性價比很高的一家店，也比較新穎，很喜歡～,5
口味偏重、果汁實在是太甜了、兌水喝的、環境實在是太差了、嘈雜的不行、排隊排了一個半小時、並沒有享受到該有的環境、這飯吃的很一般不知道為什麼這麼多人來！,2
菜品真心不咋樣。環境尚可，服務挺熱情。,2
不錯的小店  感覺很有特色  可能天津菜偏甜了  不過吃起來還是不錯的,5
去過北京吃過，在天津的口味和環境也和北京基本一樣，很多人來喝梨湯，我喝完一次就不會再喝了，梨味淡，增稠劑太多。自己家熬過梨湯，什麼味道比較一下就知道了。山藥是酸的，泡久了，我們沒跟服務員說，又不為了免單，但以後不會來了，專程告訴大家，食材不新鮮。,2
環境很亂，音響噪音，不是吃西餐的氛圍，到是迪廳酒吧的感覺。今天是週三，不忙日，但服務也不主動，叫了好幾遍才來。再也不去了,2
量太少了 味道也不好 好評都是刷的吧,1
